Words,Sentiment Score,Year
dear,0.3818,2010
fellow,0.0,2010
sharehold,0.0,2010
us,0.0,2010
health,0.0,2010
care,0.4939,2010
cost,0.0,2010
are,0.0,2010
expect,0.0,2010
to,0.0,2010
rise,0.0,2010
percent,0.0,2010
annual,0.0,2010
over,0.0,2010
the,0.0,2010
next,0.0,2010
decad,0.0,2010
push,0.0,2010
total,0.0,2010
spent,0.0,2010
in,0.0,2010
unit,0.0,2010
state,0.0,2010
around,0.0,2010
trillion,0.0,2010
alarm,-0.34,2010
growth,0.3818,2010
of,0.0,2010
chronic,0.0,2010
diseas,0.0,2010
an,0.0,2010
age,0.0,2010
popul,0.0,2010
will,0.0,2010
drive,0.0,2010
much,0.0,2010
this,0.0,2010
increas,0.0,2010
and,0.0,2010
compani,0.0,2010
that,0.0,2010
can,0.0,2010
find,0.0,2010
a,0.0,2010
way,0.0,2010
help,0.4019,2010
employ,0.0,2010
insur,0.0,2010
plan,0.0,2010
member,0.0,2010
rein,0.0,2010
relat,0.0,2010
pois,0.0,2010
benefit,0.4588,2010
at,0.0,2010
cvs,0.0,2010
caremark,0.0,2010
we,0.0,2010
see,0.0,2010
signific,0.0,2010
opportun,0.0,2010
reduc,0.0,2010
near,0.0,2010
billion,0.0,2010
is,0.0,2010
as,0.0,2010
result,0.0,2010
non,0.0,2010
adher,0.0,2010
prescrib,0.0,2010
medic,0.0,2010
other,0.0,2010
form,0.0,2010
sub,0.0,2010
optim,0.0,2010
pharmaci,0.0,2010
nation,0.0,2010
s,0.0,2010
largest,0.0,2010
provid,0.0,2010
accomplish,0.4215,2010
through,0.0,2010
our,0.0,2010
differenti,0.0,2010
pbm,0.0,2010
offer,0.0,2010
leadership,0.0,2010
clinic,0.0,2010
program,0.0,2010
specialti,0.0,2010
unmatch,0.0,2010
retail,0.0,2010
footprint,0.0,2010
grow,0.0,2010
base,0.0,2010
minuteclin,0.0,2010
locat,0.0,2010
strategi,0.0,2010
util,0.0,2010
these,0.0,2010
element,0.0,2010
integr,0.0,2010
servic,0.0,2010
model,0.0,2010
lower,-0.296,2010
